attack_damage          공격력
attack_speed           공격 속도
move_speed             이동 속도
crit_chance            치명타 확률
max_hp                 최대 체력
xp_gain                경험치 획득
luck                   행운
skill_power            도력
projectile_count       다중 투사
projectile_speed       신속 투사
area_scale             광역 확장
defense                방비
magnet_radius          끌어당김
burn_power             불씨 정통
chain_amount           연쇄 확장
seal_haste             봉인 가속
crit_damage            치명 일격
